system:index,vs,.geo
311_0,274.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
312_0,310.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
313_0,318.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
314_0,209.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
315_0,286.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
316_0,301.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
317_0,199.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
318_0,214.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
319_0,275.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
320_0,326.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
321_0,296.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
322_0,200.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
323_0,278.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
324_0,281.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
325_0,226.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,287.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
327_0,224.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
328_0,293.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
329_0,284.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
330_0,207.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
331_0,305.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
332_0,246.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
333_0,301.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
334_0,155.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
335_0,223.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
336_0,232.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
337_0,157.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
338_0,266.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
339_0,285.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
340_0,281.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
341_0,253.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
342_0,301.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
343_0,286.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
344_0,208.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
345_0,201.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
346_0,207.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
347_0,280.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
348_0,144.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
349_0,198.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
350_0,203.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
351_0,286.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
352_0,156.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
353_0,266.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
354_0,223.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
355_0,316.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
356_0,146.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
357_0,283.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
358_0,245.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
359_0,303.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
360_0,232.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
361_0,232.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
362_0,240.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
363_0,275.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
364_0,243.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
365_0,190.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
366_0,230.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
367_0,263.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
368_0,135.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
369_0,306.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
370_0,288.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
371_0,189.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
