system:index,Npp,.geo
268_0,0.43110000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
269_0,0.1801,"{""type"":""MultiPoint"",""coordinates"":[]}"
270_0,0.3558,"{""type"":""MultiPoint"",""coordinates"":[]}"
271_0,0.36200000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
272_0,0.49050000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,0.2504,"{""type"":""MultiPoint"",""coordinates"":[]}"
274_0,0.31820000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
275_0,0.12000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
276_0,0.2074,"{""type"":""MultiPoint"",""coordinates"":[]}"
277_0,0.3955,"{""type"":""MultiPoint"",""coordinates"":[]}"
278_0,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
279_0,0.1862,"{""type"":""MultiPoint"",""coordinates"":[]}"
280_0,0.3015,"{""type"":""MultiPoint"",""coordinates"":[]}"
281_0,0.37320000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
282_0,0.3057,"{""type"":""MultiPoint"",""coordinates"":[]}"
283_0,0.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
284_0,0.38980000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
285_0,0.45070000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
286_0,0.2514,"{""type"":""MultiPoint"",""coordinates"":[]}"
287_0,0.3642,"{""type"":""MultiPoint"",""coordinates"":[]}"
289_0,0.1836,"{""type"":""MultiPoint"",""coordinates"":[]}"
290_0,0.42760000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
291_0,0.33230000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
292_0,0.5208,"{""type"":""MultiPoint"",""coordinates"":[]}"
293_0,0.2906,"{""type"":""MultiPoint"",""coordinates"":[]}"
294_0,0.26630000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
295_0,0.2793,"{""type"":""MultiPoint"",""coordinates"":[]}"
296_0,0.26980000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
297_0,0.4204,"{""type"":""MultiPoint"",""coordinates"":[]}"
298_0,0.5273,"{""type"":""MultiPoint"",""coordinates"":[]}"
299_0,0.6051000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,0.2959,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,0.32680000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,0.38730000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
305_0,0.198,"{""type"":""MultiPoint"",""coordinates"":[]}"
306_0,0.41800000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
307_0,0.1106,"{""type"":""MultiPoint"",""coordinates"":[]}"
308_0,0.7888000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
309_0,0.3274,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,0.38070000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
311_0,0.22110000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
312_0,0.2838,"{""type"":""MultiPoint"",""coordinates"":[]}"
313_0,0.1038,"{""type"":""MultiPoint"",""coordinates"":[]}"
314_0,0.4344,"{""type"":""MultiPoint"",""coordinates"":[]}"
315_0,0.21350000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
316_0,0.23290000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
317_0,0.8293,"{""type"":""MultiPoint"",""coordinates"":[]}"
318_0,0.44260000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
319_0,0.4238,"{""type"":""MultiPoint"",""coordinates"":[]}"
320_0,0.2541,"{""type"":""MultiPoint"",""coordinates"":[]}"
321_0,0.132,"{""type"":""MultiPoint"",""coordinates"":[]}"
322_0,0.453,"{""type"":""MultiPoint"",""coordinates"":[]}"
323_0,0.3946,"{""type"":""MultiPoint"",""coordinates"":[]}"
324_0,0.2202,"{""type"":""MultiPoint"",""coordinates"":[]}"
325_0,0.2894,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,0.1942,"{""type"":""MultiPoint"",""coordinates"":[]}"
327_0,0.5259,"{""type"":""MultiPoint"",""coordinates"":[]}"
328_0,0.2731,"{""type"":""MultiPoint"",""coordinates"":[]}"
329_0,0.2823,"{""type"":""MultiPoint"",""coordinates"":[]}"
330_0,0.36860000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
331_0,0.2162,"{""type"":""MultiPoint"",""coordinates"":[]}"
332_0,0.7525000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
333_0,0.0557,"{""type"":""MultiPoint"",""coordinates"":[]}"
334_0,0.627,"{""type"":""MultiPoint"",""coordinates"":[]}"
335_0,0.2958,"{""type"":""MultiPoint"",""coordinates"":[]}"
336_0,0.37270000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
337_0,0.5502,"{""type"":""MultiPoint"",""coordinates"":[]}"
338_0,0.4052,"{""type"":""MultiPoint"",""coordinates"":[]}"
339_0,0.2049,"{""type"":""MultiPoint"",""coordinates"":[]}"
340_0,0.2962,"{""type"":""MultiPoint"",""coordinates"":[]}"
341_0,0.5834,"{""type"":""MultiPoint"",""coordinates"":[]}"
342_0,0.3709,"{""type"":""MultiPoint"",""coordinates"":[]}"
343_0,0.2664,"{""type"":""MultiPoint"",""coordinates"":[]}"
