system:index,rsei,.geo
271_0,0.6994005,"{""type"":""MultiPoint"",""coordinates"":[]}"
272_0,0.6338097,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,0.43111858,"{""type"":""MultiPoint"",""coordinates"":[]}"
274_0,0.5198856,"{""type"":""MultiPoint"",""coordinates"":[]}"
275_0,0.20601456,"{""type"":""MultiPoint"",""coordinates"":[]}"
276_0,0.5478851,"{""type"":""MultiPoint"",""coordinates"":[]}"
277_0,0.7579995,"{""type"":""MultiPoint"",""coordinates"":[]}"
278_0,0.47502252,"{""type"":""MultiPoint"",""coordinates"":[]}"
279_0,0.17744344,"{""type"":""MultiPoint"",""coordinates"":[]}"
280_0,0.55031204,"{""type"":""MultiPoint"",""coordinates"":[]}"
281_0,0.57054454,"{""type"":""MultiPoint"",""coordinates"":[]}"
282_0,0.33775422,"{""type"":""MultiPoint"",""coordinates"":[]}"
283_0,0.64985734,"{""type"":""MultiPoint"",""coordinates"":[]}"
284_0,0.18735375,"{""type"":""MultiPoint"",""coordinates"":[]}"
285_0,0.3812203,"{""type"":""MultiPoint"",""coordinates"":[]}"
286_0,0.44024116,"{""type"":""MultiPoint"",""coordinates"":[]}"
287_0,0.52660906,"{""type"":""MultiPoint"",""coordinates"":[]}"
289_0,0.46058947,"{""type"":""MultiPoint"",""coordinates"":[]}"
290_0,0.72266704,"{""type"":""MultiPoint"",""coordinates"":[]}"
291_0,0.7634241,"{""type"":""MultiPoint"",""coordinates"":[]}"
292_0,0.82147086,"{""type"":""MultiPoint"",""coordinates"":[]}"
293_0,0.44891253,"{""type"":""MultiPoint"",""coordinates"":[]}"
294_0,0.38143265,"{""type"":""MultiPoint"",""coordinates"":[]}"
295_0,0.4781863,"{""type"":""MultiPoint"",""coordinates"":[]}"
296_0,0.548994,"{""type"":""MultiPoint"",""coordinates"":[]}"
297_0,0.5249881,"{""type"":""MultiPoint"",""coordinates"":[]}"
298_0,0.7932954,"{""type"":""MultiPoint"",""coordinates"":[]}"
299_0,0.6867922,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,0.4867374,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,0.7050272,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,0.43719226,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,0.42596063,"{""type"":""MultiPoint"",""coordinates"":[]}"
304_0,0.43051916,"{""type"":""MultiPoint"",""coordinates"":[]}"
305_0,0.45503214,"{""type"":""MultiPoint"",""coordinates"":[]}"
306_0,0.52475667,"{""type"":""MultiPoint"",""coordinates"":[]}"
307_0,0.18827996,"{""type"":""MultiPoint"",""coordinates"":[]}"
308_0,0.7434217,"{""type"":""MultiPoint"",""coordinates"":[]}"
309_0,0.35340765,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,0.5770969,"{""type"":""MultiPoint"",""coordinates"":[]}"
311_0,0.33503854,"{""type"":""MultiPoint"",""coordinates"":[]}"
312_0,0.35863766,"{""type"":""MultiPoint"",""coordinates"":[]}"
313_0,0.33448505,"{""type"":""MultiPoint"",""coordinates"":[]}"
314_0,0.8573313,"{""type"":""MultiPoint"",""coordinates"":[]}"
315_0,0.32533634,"{""type"":""MultiPoint"",""coordinates"":[]}"
316_0,0.50941825,"{""type"":""MultiPoint"",""coordinates"":[]}"
317_0,0.7129138,"{""type"":""MultiPoint"",""coordinates"":[]}"
318_0,0.6586572,"{""type"":""MultiPoint"",""coordinates"":[]}"
319_0,0.77078074,"{""type"":""MultiPoint"",""coordinates"":[]}"
320_0,0.380713,"{""type"":""MultiPoint"",""coordinates"":[]}"
321_0,0.21762751,"{""type"":""MultiPoint"",""coordinates"":[]}"
322_0,0.67598647,"{""type"":""MultiPoint"",""coordinates"":[]}"
323_0,0.69606555,"{""type"":""MultiPoint"",""coordinates"":[]}"
324_0,0.4267206,"{""type"":""MultiPoint"",""coordinates"":[]}"
325_0,0.30665013,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,0.44202936,"{""type"":""MultiPoint"",""coordinates"":[]}"
327_0,0.7312676,"{""type"":""MultiPoint"",""coordinates"":[]}"
328_0,0.37111503,"{""type"":""MultiPoint"",""coordinates"":[]}"
329_0,0.40018323,"{""type"":""MultiPoint"",""coordinates"":[]}"
330_0,0.52798223,"{""type"":""MultiPoint"",""coordinates"":[]}"
331_0,0.3274199,"{""type"":""MultiPoint"",""coordinates"":[]}"
332_0,0.7636432,"{""type"":""MultiPoint"",""coordinates"":[]}"
333_0,0.21859586,"{""type"":""MultiPoint"",""coordinates"":[]}"
334_0,0.6379996,"{""type"":""MultiPoint"",""coordinates"":[]}"
335_0,0.44788924,"{""type"":""MultiPoint"",""coordinates"":[]}"
336_0,0.55444187,"{""type"":""MultiPoint"",""coordinates"":[]}"
337_0,0.4392873,"{""type"":""MultiPoint"",""coordinates"":[]}"
338_0,0.48287815,"{""type"":""MultiPoint"",""coordinates"":[]}"
339_0,0.39741537,"{""type"":""MultiPoint"",""coordinates"":[]}"
340_0,0.67965305,"{""type"":""MultiPoint"",""coordinates"":[]}"
341_0,0.73668474,"{""type"":""MultiPoint"",""coordinates"":[]}"
342_0,0.8005301,"{""type"":""MultiPoint"",""coordinates"":[]}"
343_0,0.70715064,"{""type"":""MultiPoint"",""coordinates"":[]}"
344_0,0.64551514,"{""type"":""MultiPoint"",""coordinates"":[]}"
345_0,0.61896706,"{""type"":""MultiPoint"",""coordinates"":[]}"
346_0,0.73528695,"{""type"":""MultiPoint"",""coordinates"":[]}"
347_0,0.67457086,"{""type"":""MultiPoint"",""coordinates"":[]}"
348_0,0.5624802,"{""type"":""MultiPoint"",""coordinates"":[]}"
349_0,0.5427633,"{""type"":""MultiPoint"",""coordinates"":[]}"
350_0,0.5768798,"{""type"":""MultiPoint"",""coordinates"":[]}"
351_0,0.42972794,"{""type"":""MultiPoint"",""coordinates"":[]}"
352_0,0.45783398,"{""type"":""MultiPoint"",""coordinates"":[]}"
353_0,0.65694803,"{""type"":""MultiPoint"",""coordinates"":[]}"
354_0,0.45605493,"{""type"":""MultiPoint"",""coordinates"":[]}"
355_0,0.40455785,"{""type"":""MultiPoint"",""coordinates"":[]}"
356_0,0.643587,"{""type"":""MultiPoint"",""coordinates"":[]}"
357_0,0.72255063,"{""type"":""MultiPoint"",""coordinates"":[]}"
358_0,0.30428967,"{""type"":""MultiPoint"",""coordinates"":[]}"
359_0,0.4765003,"{""type"":""MultiPoint"",""coordinates"":[]}"
360_0,0.7199078,"{""type"":""MultiPoint"",""coordinates"":[]}"
361_0,0.707231,"{""type"":""MultiPoint"",""coordinates"":[]}"
362_0,0.5126258,"{""type"":""MultiPoint"",""coordinates"":[]}"
363_0,0.42341962,"{""type"":""MultiPoint"",""coordinates"":[]}"
364_0,0.799595,"{""type"":""MultiPoint"",""coordinates"":[]}"
365_0,0.53301966,"{""type"":""MultiPoint"",""coordinates"":[]}"
366_0,0.38475397,"{""type"":""MultiPoint"",""coordinates"":[]}"
367_0,0.71170723,"{""type"":""MultiPoint"",""coordinates"":[]}"
368_0,0.4288524,"{""type"":""MultiPoint"",""coordinates"":[]}"
369_0,0.35986826,"{""type"":""MultiPoint"",""coordinates"":[]}"
370_0,0.37828785,"{""type"":""MultiPoint"",""coordinates"":[]}"
371_0,0.4741149,"{""type"":""MultiPoint"",""coordinates"":[]}"
372_0,0.57389235,"{""type"":""MultiPoint"",""coordinates"":[]}"
373_0,0.34760347,"{""type"":""MultiPoint"",""coordinates"":[]}"
374_0,0.42783368,"{""type"":""MultiPoint"",""coordinates"":[]}"
375_0,0.4110263,"{""type"":""MultiPoint"",""coordinates"":[]}"
376_0,0.71667695,"{""type"":""MultiPoint"",""coordinates"":[]}"
377_0,0.67063004,"{""type"":""MultiPoint"",""coordinates"":[]}"
